ts,cloud_latency_ms,cpu_pct,mem_pct
1757809530,10.48827171,2.2,2.7
1757809530,3.532171249,19.5,2.7
1757809530,2.806663513,16.2,2.7
1757809530,2.573728561,11.4,2.7
1757809530,2.703428268,17.6,2.7
1757809530,2.930164337,16.7,2.7
1757809530,2.716302872,14.7,2.7
1757809530,2.9733181,20.5,2.7
1757809530,2.589941025,12.1,2.7
1757809530,2.564668655,22.7,2.7
1757809530,2.668857574,11.8,2.7
1757809530,2.588510513,14.7,2.7
1757809530,2.656698227,16.2,2.7
1757809530,2.632856369,19.4,2.7
1757809530,2.618551254,12.1,2.7
1757809530,3.039121628,17.1,2.8
1757809530,2.590894699,21.1,2.8
1757809530,2.838850021,16.7,2.8
1757809530,2.655744553,15.2,2.8
1757809530,2.894639969,17.6,2.8
1757809530,2.649307251,14.7,2.8
1757809530,3.486871719,16.7,2.8
1757809530,2.811908722,14.7,2.8
1757809530,3.06391716,14.7,2.8
1757809530,2.626895905,23.5,2.8
1757809530,2.685785294,13.9,2.8
1757809530,3.264188766,13.9,2.8
1757809530,2.454519272,3.2,2.8
1757809530,2.508878708,3.3,2.8
1757809531,2.482414246,3.2,2.7
1757809531,2.572536469,8.6,2.7
1757809531,2.691984177,4,2.7
1757809531,2.732753754,6.3,2.7
1757809531,2.687454224,3.9,2.7
1757809531,2.552747726,4.5,2.7
1757809531,2.576351166,4,2.7
1757809531,2.655982971,4.4,2.7
1757809531,2.717256546,4.9,2.7
1757809531,3.039121628,3,2.7
1757809531,2.754449844,4.9,2.7
1757809531,2.779483795,5.4,2.7
1757809531,2.834320068,5.3,2.7
1757809531,2.816915512,3.5,2.7
1757809531,2.67791748,3.9,2.7
1757809531,2.749204636,4,2.7
1757809531,2.797842026,3.9,2.7
1757809532,2.749919891,3,2.7
1757809532,2.753734589,5.8,2.7
1757809532,2.825260162,5.7,2.7
1757809532,2.767086029,3.5,2.7
1757809532,2.74348259,3.5,2.7
1757809532,2.684831619,4.4,2.7
1757809532,2.959489822,4.9,2.7
1757809532,2.710342407,13.1,2.7
1757809532,2.917766571,3,2.7
1757809532,2.727031708,6.8,2.7
1757809532,3.478050232,3.9,2.7
1757809532,3.190279007,3,2.7
1757809532,3.051757813,5.3,2.7
1757809532,2.707719803,3.5,2.7
1757809532,2.614498138,4,2.7
1757809532,2.794742584,3.9,2.7
1757809533,2.731561661,3.5,2.7
1757809533,2.66623497,7.1,2.7
1757809533,2.737045288,4,2.7
1757809533,2.644777298,3.4,2.7
1757809533,2.563714981,4.5,2.7
1757809533,2.668857574,6.2,2.7
1757809533,2.667188644,4.7,2.7
1757809533,2.856254578,3.8,2.7
1757809533,2.857685089,4.7,2.7
1757809533,2.759933472,4.7,2.7
1757809533,2.633333206,2.4,2.7
1757809533,2.758264542,5.1,2.7
1757809533,2.777099609,5,2.7
1757809533,2.621889114,4.4,2.7
1757809533,2.781867981,5.5,2.7
1757809534,2.708911896,5.6,2.7
1757809534,2.7551651,3.7,2.7
1757809534,2.649068832,5.6,2.7
1757809534,2.806901932,4.2,2.7
1757809534,2.774477005,3.8,2.8
1757809534,2.596616745,4.7,2.8
1757809534,2.733469009,3.8,2.7
1757809534,2.758264542,4.7,2.7
1757809534,2.845287323,3.8,2.8
1757809534,2.992868423,4.6,2.8
1757809534,2.938747406,3.3,2.8
1757809534,3.327846527,5.6,2.8
1757809534,2.957105637,5.2,2.8
1757809534,2.940416336,4.2,2.8
1757809534,2.802610397,5,2.7
1757809535,2.819776535,5.6,2.8
1757809535,2.89440155,2.8,2.8
1757809535,2.788066864,6,2.8
1757809535,2.949714661,4.2,2.8
1757809535,2.859354019,3.8,2.8
1757809535,2.737045288,4.2,2.8
1757809535,3.010988235,5.5,2.8
1757809535,2.794265747,3.3,2.8
1757809535,2.889633179,4.2,2.8
1757809535,4.393339157,5,2.8
1757809535,2.891778946,3.8,2.8
1757809535,2.741336823,5.1,2.8
1757809535,2.84743309,4.3,2.8
1757809535,2.88939476,3.3,2.8
1757809535,2.732992172,5.6,2.8
1757809536,2.852678299,4.2,2.8
1757809536,2.764940262,4.6,2.8
1757809536,2.764701843,4.7,2.8
1757809536,2.773046494,4.7,2.8
1757809536,2.789258957,3.3,2.8
1757809536,2.713680267,4.7,2.8
1757809536,2.780675888,5.6,2.8
1757809536,2.793550491,3.3,2.8
1757809536,2.894878387,5.1,2.8
1757809536,2.818107605,4.7,2.8
1757809536,3.608465195,3.7,2.8
1757809536,2.929210663,2.9,2.8
1757809536,2.882957458,5.1,2.8
1757809536,2.658367157,2.9,2.8
1757809536,2.740859985,4.6,2.8
1757809537,2.946615219,5.1,2.8
1757809537,2.799749374,3.8,2.8
1757809537,2.728700638,4.7,2.8
1757809537,2.782821655,6.1,2.8
1757809537,2.767562866,3.3,2.8
1757809537,2.690315247,4.2,2.8
1757809537,2.730369568,5.6,2.8
1757809537,2.741575241,3.3,2.8
1757809537,2.655744553,4.2,2.8
1757809537,2.904653549,4.2,2.8
1757809537,2.775430679,4.7,2.8
1757809537,2.696037292,5.1,2.8
1757809537,2.767086029,4.6,2.8
1757809537,2.771377563,4.3,2.8
1757809537,2.724647522,5.1,2.8
1757809538,2.769470215,4.2,2.8
1757809538,2.728939056,3.8,2.8
1757809538,2.771139145,4.2,2.8
1757809538,2.725124359,4.2,2.8
1757809538,2.778768539,3.3,2.8
1757809538,2.702236176,3.3,2.8
1757809538,2.816200256,5.1,2.8
1757809538,2.71320343,3.8,2.8
1757809538,2.738714218,5.1,2.8
1757809538,2.905845642,4.1,2.8
1757809538,2.939462662,3.8,2.8
1757809538,2.741336823,5.1,2.8
1757809538,4.011154175,4.1,2.8
1757809538,2.833604813,3.8,2.8
1757809538,2.780675888,4.2,2.8
1757809539,2.769708633,4.6,2.8
1757809539,2.757310867,2.9,2.8
1757809539,2.759218216,5.1,2.8
1757809539,2.752542496,4.2,2.8
1757809539,2.709627151,3.8,2.8
1757809539,2.700805664,4.7,2.8
1757809539,2.874135971,4.6,2.8
1757809539,2.780199051,3.3,2.8
1757809539,2.67624855,5.1,2.8
1757809539,2.84743309,3.3,2.8
1757809539,2.764701843,3.3,2.8
1757809539,2.726554871,5.6,2.8
1757809539,2.744913101,4.7,2.8
1757809539,2.852916718,3.8,2.8
1757809539,2.75182724,4.7,2.8
1757809540,2.846240997,5.1,2.8
1757809540,2.798080444,3.3,2.8
1757809540,2.846240997,5.9,2.8
1757809540,2.743959427,5.2,2.8
1757809540,2.943277359,3.3,2.8
1757809540,2.812862396,4.7,2.8
1757809540,2.857685089,4.6,2.8
1757809540,2.671003342,3.3,2.8
1757809540,2.754688263,4.6,2.8
1757809540,2.759933472,5.1,2.8
1757809540,2.940177917,3.4,2.8
1757809540,2.687931061,5.1,2.8
1757809540,3.828525543,3.7,2.8
1757809540,3.156423569,3.3,2.8
1757809540,2.848386765,4.2,2.8
1757809541,2.754926682,5.5,2.8
1757809541,2.767562866,3.3,2.8
1757809541,2.742528915,4.6,2.8
1757809541,2.71320343,4.7,2.8
1757809541,2.658605576,3.7,2.8
1757809541,2.71654129,5.1,2.8
1757809541,3.000020981,5.6,2.8
1757809541,2.750873566,2.8,2.8
1757809541,2.753734589,4.2,2.8
1757809541,2.866744995,5.4,2.8
1757809541,2.724409103,3.4,2.8
1757809541,2.775430679,5.1,2.8
1757809541,2.770423889,4.2,2.8
1757809541,2.676486969,4.2,2.8
1757809541,2.65955925,4.7,2.8
1757809542,2.70986557,4.7,2.8
1757809542,2.674818039,3.3,2.8
1757809542,2.703905106,5.6,2.8
1757809542,2.705335617,4.3,2.8
1757809542,2.729177475,3.3,2.8
1757809542,2.71487236,5.5,2.8
1757809542,2.828836441,5.1,2.8
1757809542,2.847909927,12.4,2.8
1757809542,2.739667892,5.6,2.8
1757809542,2.846479416,5.6,2.8
1757809542,2.837181091,3.7,2.8
1757809542,2.828121185,5.1,2.8
1757809542,2.82740593,4.2,2.8
1757809542,2.876996994,3.3,2.8
1757809542,3.060817719,4.7,2.8
1757809543,2.831459045,4.7,2.8
1757809543,2.940893173,3.4,2.8
1757809543,2.906084061,5.1,2.8
1757809543,3.050804138,5.1,2.8
1757809543,2.932310104,4.2,2.8
1757809543,2.844810486,5.1,2.8
1757809543,2.890348434,6.4,2.8
1757809543,2.93636322,5.1,2.8
1757809543,2.917528152,5.1,2.8
1757809543,2.907276154,3.8,2.8
1757809543,2.893924713,3.3,2.8
1757809543,2.773761749,4.7,2.8
1757809543,2.927780151,4.2,2.8
1757809543,2.889156342,3.8,2.8
1757809543,2.809286118,4.2,2.8
1757809544,2.842664719,4.7,2.8
1757809544,2.769708633,3.3,2.8
1757809544,3.441810608,5,2.8
1757809544,2.867937088,3.8,2.8
1757809544,3.135919571,3.7,2.8
1757809544,2.942562103,5.1,2.8
1757809544,2.779006958,4.2,2.8
1757809544,2.815961838,4.8,2.8
1757809544,2.997159958,4.7,2.8
1757809544,2.828359604,4.7,2.8
1757809544,2.718925476,2.8,2.8
1757809544,2.74682045,5.6,2.8
1757809544,2.852201462,3.7,2.8
1757809544,2.710580826,3.8,2.8
1757809544,3.349781036,4.2,2.8
1757809545,2.883911133,4.2,2.8
1757809545,2.826929092,3.8,2.8
1757809545,2.78711319,5.1,2.8
1757809545,2.840042114,4.7,2.8
1757809545,2.950906754,2.8,2.8
1757809545,2.860307693,4.7,2.8
1757809545,2.917528152,6.4,2.8
1757809545,2.812385559,3.3,2.8
1757809545,2.812862396,4.2,2.8
1757809545,2.984046936,3.7,2.8
1757809545,2.780675888,4.3,2.8
1757809545,2.722263336,4.7,2.8
1757809545,2.830505371,5.1,2.8
1757809545,2.986431122,3.3,2.8
1757809545,2.907037735,4.7,2.8
1757809546,2.908468246,4.2,2.8
1757809546,2.89273262,3.8,2.8
1757809546,2.969264984,4.7,2.8
1757809546,3.031492233,4.2,2.8
1757809546,3.068685532,4.7,2.8
1757809546,2.830266953,4.3,2.8
1757809546,2.933740616,4.7,2.8
1757809546,2.953767776,3.8,2.8
1757809546,2.857446671,5.1,2.8
1757809546,2.913236618,5.1,2.8
1757809546,2.92468071,2.8,2.8
1757809546,2.912998199,6,2.8
1757809546,3.002882004,5.1,2.8
1757809546,2.942800522,3.3,2.8
1757809546,3.700256348,5.1,2.8
1757809547,3.33738327,4.3,2.8
1757809547,2.96163559,3.8,2.8
1757809547,2.839565277,4.7,2.8
1757809547,2.899646759,6,2.8
1757809547,3.047704697,3.8,2.8
1757809547,2.810716629,3.8,2.8
1757809547,2.970457077,5.1,2.8
1757809547,2.838373184,2.9,2.8
1757809547,2.865791321,4.6,2.8
1757809547,2.838373184,5.1,2.8
1757809547,2.903699875,2.8,2.8
1757809547,3.006219864,4.7,2.8
1757809547,2.905607224,4.7,2.8
1757809547,2.870798111,3.3,2.8
1757809547,2.757787704,4.2,2.8
1757809548,2.815008163,5.1,2.8
1757809548,2.759933472,4.3,2.8
1757809548,2.959251404,5.5,2.8
1757809548,2.881765366,4.7,2.8
1757809548,2.928733826,3.3,2.8
1757809548,2.820014954,4.7,2.8
1757809548,2.862453461,4.7,2.8
1757809548,2.859830856,3.3,2.8
1757809548,2.802371979,5.7,2.8
1757809548,3.038883209,4.1,2.8
1757809548,2.96664238,3.8,2.8
1757809548,2.844572067,4.7,2.8
1757809548,2.915382385,3.7,2.8
1757809548,2.787590027,3.3,2.8
1757809548,2.777099609,5.1,2.8
1757809549,2.821207047,5.5,2.8
1757809549,3.456115723,3.4,2.8
1757809549,2.854347229,3.7,2.8
1757809549,3.136873245,6,2.8
1757809549,3.336191177,3.8,2.8
1757809549,2.932786942,4.7,2.8
1757809549,2.87771225,4.6,2.8
1757809549,2.816677094,4.2,2.8
1757809549,2.762794495,3.8,2.8
1757809549,2.868652344,4.3,2.8
1757809549,2.928495407,3.3,2.8
1757809549,2.875328064,6,2.8
1757809549,2.956628799,5,2.8
1757809549,2.869129181,3.7,2.8
1757809549,2.822875977,5.2,2.8
1757809550,2.889633179,4.6,2.8
1757809550,2.87103653,4.8,2.8
1757809550,2.840995789,5.5,2.8
1757809550,2.880096436,5.6,2.8
1757809550,2.892971039,3.3,2.8
1757809550,2.846240997,5.6,2.8
1757809550,2.881765366,5.1,2.8
1757809550,2.839565277,3.8,2.8
1757809550,2.774715424,4.2,2.8
1757809550,2.828121185,5.2,2.8
1757809550,2.928972244,3.3,2.8
1757809550,2.832651138,5.1,2.8
1757809550,2.923965454,5.6,2.8
1757809550,2.877950668,3.3,2.8
1757809550,2.79712677,4.7,2.8
1757809551,2.800703049,5,2.8
1757809551,3.877878189,3.8,2.8
1757809551,3.126382828,4.3,2.8
1757809551,2.928972244,5.1,2.8
1757809551,2.807855606,2.9,2.8
1757809551,2.786874771,5.1,2.8
1757809551,2.835988998,4.6,2.8
1757809551,2.798318863,3.3,2.8
1757809551,2.722263336,4.6,2.8
1757809551,2.819538116,5.2,2.8
1757809551,2.755880356,4.1,2.8
1757809551,2.758979797,4.2,2.8
1757809551,2.856254578,5.2,2.8
1757809551,2.785921097,3.8,2.8
1757809551,2.873659134,5.4,2.8
1757809552,2.798557281,5.2,2.8
1757809552,2.835273743,4.2,2.8
1757809552,2.725362778,5,2.8
1757809552,2.821207047,5.2,2.8
1757809552,2.761602402,4.6,2.8
1757809552,2.717733383,5.6,2.8
1757809552,2.966165543,6.3,2.8
1757809552,4.064321518,12.6,2.8
1757809552,3.334999084,5.2,2.8
1757809552,2.961397171,4.7,2.8
1757809552,2.975225449,4.2,2.8
1757809552,2.691984177,5.1,2.8
1757809552,2.777576447,5.1,2.8
1757809552,2.726554871,3.3,2.8
1757809552,2.685546875,5.1,2.8
1757809553,2.746582031,5.1,2.8
1757809553,2.704381943,3.8,2.8
1757809553,2.664327621,4.7,2.8
1757809553,3.292560577,5.1,2.8
1757809553,3.114461899,3.3,2.8
1757809553,2.818346024,5.5,2.8
1757809553,2.688646317,4.7,2.8
1757809553,2.93469429,4.7,2.8
1757809553,2.893447876,5.1,2.8
1757809553,2.678632736,5.1,2.8
1757809553,2.632856369,3.4,2.8
1757809553,2.746105194,5,2.8
1757809553,2.671718597,4.3,2.8
1757809553,2.734184265,3.3,2.8
1757809553,2.727270126,4.2,2.8
1757809554,2.780437469,5.1,2.8
1757809554,2.705335617,3.8,2.8
1757809554,2.714157104,5.1,2.8
1757809554,2.715110779,5,2.8
1757809554,2.740859985,3.8,2.8
1757809554,2.783060074,4.2,2.8
1757809554,2.73680687,5.1,2.8
1757809554,2.966403961,5.7,2.8
1757809554,2.768993378,5.1,2.8
1757809554,2.898693085,4.6,2.8
1757809554,2.883195877,3.8,2.8
1757809554,2.980232239,5.1,2.8
1757809554,2.864599228,4.7,2.8
1757809554,2.870082855,3.3,2.8
1757809554,2.781152725,4.6,2.8
1757809555,2.957582474,6.1,2.8
1757809555,2.972602844,3.7,2.8
1757809555,3.522157669,5.9,2.8
1757809555,3.182649612,4.7,2.8
1757809555,3.023147583,3.3,2.8
1757809555,2.929210663,6,2.8
1757809555,3.148317337,5.9,2.8
1757809555,3.013849258,2.8,2.8
1757809555,2.977371216,4.7,2.8
1757809555,2.979278564,4.7,2.8
1757809555,3.031015396,4.6,2.8
1757809555,2.888202667,5.9,2.8
1757809555,2.894878387,3.4,2.8
1757809555,2.941131592,4.6,2.8
1757809555,2.923488617,4.7,2.8
1757809556,2.952575684,4.7,2.8
1757809556,2.928972244,4.2,2.8
1757809556,2.857446671,4.6,2.8
1757809556,2.835988998,3.8,2.8
1757809556,2.923250198,3.8,2.8
1757809556,2.92801857,4.6,2.8
1757809556,2.953052521,5,2.8
1757809556,2.853631973,3.3,2.8
1757809556,2.883195877,5.5,2.8
1757809556,2.936840057,4.2,2.8
1757809556,2.887964249,4.3,2.8
1757809556,2.864837646,3.8,2.8
1757809556,2.923250198,3.7,2.8
1757809556,2.730131149,3.8,2.8
1757809556,2.74848938,5.5,2.8
1757809557,2.838850021,4.2,2.8
1757809557,2.957820892,3.3,2.8
1757809557,2.80714035,5.1,2.8
1757809557,2.832174301,4.7,2.8
1757809557,2.768754959,2.8,2.8
1757809557,2.762317657,5.1,2.8
1757809557,2.853155136,5.1,2.8
1757809557,2.887010574,3.3,2.8
1757809557,2.825021744,4.2,2.8
1757809557,2.882480621,4.7,2.8
1757809557,3.089427948,3.7,2.8
1757809557,2.786874771,4.2,2.8
1757809557,2.888441086,4.2,2.8
1757809557,2.786159515,3.8,2.8
1757809557,2.80213356,5,2.8
1757809558,2.915859222,5.6,2.8
1757809558,3.016710281,4.2,2.8
1757809558,2.770662308,4.2,2.8
1757809558,2.748012543,5.1,2.8
1757809558,2.763748169,3.8,2.8
1757809558,2.690076828,4.2,2.8
1757809558,2.751111984,6.5,2.8
1757809558,2.756118774,3.3,2.8
1757809558,2.761363983,4.2,2.8
1757809558,2.781152725,4.6,2.8
1757809558,2.79378891,3.3,2.8
1757809558,2.726554871,3.8,2.8
1757809558,2.760887146,4.1,2.8
1757809558,2.690792084,4.3,2.8
1757809558,2.681493759,5.5,2.8
1757809559,2.74848938,4.2,2.8
1757809559,2.820730209,3.3,2.8
1757809559,2.816915512,5.1,2.8
1757809559,2.879142761,3.3,2.8
1757809559,2.856731415,4.2,2.8
1757809559,2.977609634,3.7,2.8
1757809559,2.894878387,5.6,2.8
1757809559,2.809286118,4.2,2.8
1757809559,2.778291702,6,2.8
1757809559,2.906322479,4.1,2.8
1757809559,2.877950668,2.9,2.8
1757809559,2.780199051,4.7,2.8
1757809559,2.815485001,4.6,2.8
1757809559,2.839565277,2.9,2.8
1757809559,2.990245819,5.1,2.8
1757809560,2.886295319,4.2,2.8
1757809560,3.155469894,3.8,2.8
1757809560,2.848863602,4.2,2.8
1757809560,2.829313278,5.6,2.8
1757809560,2.765417099,2.9,2.8
1757809560,2.826690674,4.7,2.8
1757809560,2.883434296,5.1,2.8
1757809560,2.870798111,3.3,2.8
1757809560,2.821683884,4.7,2.8
1757809560,2.882480621,4.7,2.8
1757809560,2.852678299,3.8,2.8
1757809560,2.843141556,4.7,2.8
1757809560,2.860784531,4.7,2.8
1757809560,2.840995789,3.3,2.8
1757809560,2.865314484,4.7,2.8
1757809561,2.926826477,5.1,2.8
1757809561,2.851247787,4.7,2.8
1757809561,2.827167511,3.8,2.8
1757809561,6.133794785,4.5,2.8
1757809561,2.795934677,4,2.8
1757809561,2.768516541,4.7,2.8
1757809561,2.813339233,5.2,2.8
1757809561,2.870082855,3.7,2.8
1757809561,2.819299698,5.1,2.8
1757809561,2.838134766,4.3,2.8
1757809561,2.839565277,3.7,2.8
1757809561,2.8424263,4.2,2.8
1757809561,2.7987957,4.2,2.8
1757809561,2.784013748,3.8,2.8
1757809561,2.730131149,4.2,2.8
1757809562,2.803087234,4.3,2.8
1757809562,2.803564072,3.8,2.8
1757809562,2.809762955,4.2,2.8
1757809562,2.784967422,4.7,2.8
1757809562,2.80213356,3.7,2.8
1757809562,2.794027328,5.1,2.8
1757809562,3.019809723,3.7,2.8
1757809562,2.953529358,12.4,2.8
1757809562,3.100633621,5.3,2.8
1757809562,2.945899963,5.6,2.8
1757809562,3.022432327,2.8,2.8
1757809562,3.041028976,4.7,2.8
1757809562,2.859830856,3.8,2.8
1757809562,2.9296875,3.3,2.8
1757809562,2.803325653,5.6,2.8
1757809563,2.94137001,4.2,2.8
1757809563,3.259181976,5.7,2.8
