ts,stage,frame_id,dt_ms,fps,cpu_pct,mem_pct,forwarded
1757771817.211,capture,0,58.9,,3.6,2.4,0
1757771817.226,detect,0,14.4,,10.4,2.4,0
1757771817.226,sample_decision,0,0.0,,0.0,2.4,0
1757771817.275,capture,1,2.7,,2.5,2.4,1
1757771817.285,detect,1,9.5,,15.6,2.5,1
1757771817.285,sample_decision,1,0.0,,0.0,2.5,1
1757771817.317,capture,2,2.2,,3.9,2.5,2
1757771817.327,detect,2,9.5,,12.9,2.5,2
1757771817.327,sample_decision,2,0.0,,0.0,2.5,2
1757771817.354,capture,3,2.0,,4.5,2.5,3
1757771817.364,detect,3,9.3,,13.3,2.5,3
1757771817.364,sample_decision,3,0.0,,0.0,2.5,3
1757771817.392,capture,4,1.6,,3.3,2.5,4
1757771817.402,detect,4,9.4,,13.3,2.5,4
1757771817.402,sample_decision,4,0.0,,0.0,2.5,4
1757771817.430,capture,5,1.6,,2.2,2.5,5
1757771817.440,detect,5,9.3,,13.3,2.5,5
1757771817.440,sample_decision,5,0.0,,0.0,2.5,5
1757771817.466,capture,6,1.7,,3.7,2.5,6
1757771817.475,detect,6,9.7,,12.9,2.5,6
1757771817.476,sample_decision,6,0.0,,0.0,2.5,6
1757771817.501,capture,7,1.7,,3.6,2.5,7
1757771817.511,detect,7,9.4,,13.3,2.5,7
1757771817.511,sample_decision,7,0.0,,0.0,2.5,7
1757771817.537,capture,8,1.6,,3.6,2.5,8
1757771817.547,detect,8,9.5,,12.9,2.5,8
1757771817.547,sample_decision,8,0.0,,0.0,2.5,8
1757771817.571,capture,9,1.7,,2.6,2.5,9
1757771817.581,detect,9,9.5,,18.8,2.5,9
1757771817.581,sample_decision,9,0.0,,0.0,2.5,9
1757771817.606,capture,10,1.7,,3.7,2.5,10
1757771817.616,detect,10,9.6,,12.9,2.5,10
1757771817.616,sample_decision,10,0.0,,0.0,2.5,10
1757771817.642,capture,11,1.9,,2.4,2.5,11
1757771817.651,detect,11,9.4,,15.6,2.5,11
1757771817.652,sample_decision,11,0.0,,0.0,2.5,11
1757771817.678,capture,12,2.8,,3.5,2.5,12
1757771817.688,detect,12,9.5,,12.9,2.5,12
1757771817.688,sample_decision,12,0.0,,0.0,2.5,12
1757771817.713,capture,13,2.0,,3.8,2.5,13
1757771817.722,detect,13,9.5,,13.3,2.5,13
1757771817.723,sample_decision,13,0.0,,0.0,2.5,13
1757771817.747,capture,14,1.8,,2.5,2.5,14
1757771817.757,detect,14,9.3,,18.7,2.5,14
1757771817.757,sample_decision,14,0.0,,0.0,2.5,14
1757771817.783,capture,15,1.7,,2.5,2.5,15
1757771817.793,detect,15,9.5,,15.6,2.5,15
1757771817.793,sample_decision,15,0.0,,0.0,2.5,15
1757771817.819,capture,16,1.7,,3.5,2.5,16
1757771817.829,detect,16,9.5,,12.9,2.5,16
1757771817.829,sample_decision,16,0.0,,0.0,2.5,16
1757771817.854,capture,17,2.3,,2.5,2.5,17
1757771817.864,detect,17,9.5,,13.3,2.5,17
1757771817.864,sample_decision,17,0.0,,0.0,2.5,17
1757771817.889,capture,18,1.9,,4.9,2.5,18
